Descriptor,Statistics,p,alpha,Interpretation
Xp-2d,1126944437.5,1.0415853811142689e-08,0.05,Different distribution (reject H0)
Xp-3d,1124109636.0,1.8561164495937412e-10,0.05,Different distribution (reject H0)
Xp-4d,1135759757.0,0.00019238629258292012,0.05,Different distribution (reject H0)
Xp-5d,1148667361.0,0.2939548540762873,0.05,Same distribution (fail to reject H0)
Xp-6d,1134095709.5,4.105404119986862e-05,0.05,Different distribution (reject H0)
Xp-7d,1102231018.5,3.1217861064328624e-30,0.05,Different distribution (reject H0)
AXp-0d,1053379178.5,6.978019589138831e-115,0.05,Different distribution (reject H0)
AXp-1d,1063090460.0,1.3846172988767606e-93,0.05,Different distribution (reject H0)
AXp-2d,999882951.0,4.9647144586174523e-272,0.05,Different distribution (reject H0)
AXp-3d,1013925271.0,2.97857873529385e-224,0.05,Different distribution (reject H0)
AXp-4d,1019615663.0,3.249968564304999e-206,0.05,Different distribution (reject H0)
AXp-5d,1003798756.0,3.065747614517814e-258,0.05,Different distribution (reject H0)
AXp-6d,987721881.5,0.0,0.05,Different distribution (reject H0)
AXp-7d,988176541.5,0.0,0.05,Different distribution (reject H0)
Xp-0dv,1127722264.0,2.9196097204396518e-08,0.05,Different distribution (reject H0)
Xp-1dv,1139727145.0,0.004324658607095367,0.05,Different distribution (reject H0)
Xp-2dv,1142809115.0,0.028242099865141607,0.05,Different distribution (reject H0)
Xp-3dv,1147185435.5,0.18746728795069884,0.05,Same distribution (fail to reject H0)
Xp-4dv,1121015677.0,1.4061639527357967e-12,0.05,Different distribution (reject H0)
Xp-5dv,1109543497.5,2.2145571547383597e-22,0.05,Different distribution (reject H0)
Xp-6dv,1080599323.0,8.541018643975245e-61,0.05,Different distribution (reject H0)
Xp-7dv,1058810247.5,1.067088940456058e-102,0.05,Different distribution (reject H0)
AXp-0dv,1086768616.5,5.85809251547115e-51,0.05,Different distribution (reject H0)
AXp-1dv,1132302199.5,6.6174348398234586e-06,0.05,Different distribution (reject H0)
AXp-2dv,1140709267.0,0.008271637700766726,0.05,Different distribution (reject H0)
AXp-3dv,1145634341.5,0.10587093371861722,0.05,Same distribution (fail to reject H0)
AXp-4dv,1147285388.0,0.19380173950862606,0.05,Same distribution (fail to reject H0)
AXp-5dv,1129997485.5,4.956500233779433e-07,0.05,Different distribution (reject H0)
AXp-6dv,1135957163.0,0.00022890204744736625,0.05,Different distribution (reject H0)
AXp-7dv,1132626367.5,9.318258900145673e-06,0.05,Different distribution (reject H0)
SZ,1130137300.5,5.845693677964509e-07,0.05,Different distribution (reject H0)
Sm,1121909767.5,6.075424376465609e-12,0.05,Different distribution (reject H0)
Sv,1141259679.0,0.011651911242114014,0.05,Different distribution (reject H0)
Sse,1140956793.5,0.009667409928041161,0.05,Different distribution (reject H0)
Spe,1141588247.0,0.014195691224072287,0.05,Different distribution (reject H0)
Sare,1140957019.0,0.00966876887102353,0.05,Different distribution (reject H0)
Sp,1140521995.0,0.007336463694272033,0.05,Different distribution (reject H0)
Si,1139742714.0,0.004370976492125263,0.05,Different distribution (reject H0)
MZ,1025567616.5,3.6482284023888036e-188,0.05,Different distribution (reject H0)
Mm,1024970277.0,6.143909710804632e-190,0.05,Different distribution (reject H0)
Mv,1035807998.0,4.618736773856314e-159,0.05,Different distribution (reject H0)
Mse,1102476292.0,5.998101279305276e-30,0.05,Different distribution (reject H0)
Mpe,1088665659.5,4.098440377758791e-48,0.05,Different distribution (reject H0)
Mare,1104122329.5,4.414674681966865e-28,0.05,Different distribution (reject H0)
Mp,1016716159.5,2.6070288053206243e-215,0.05,Different distribution (reject H0)
Mi,1069682214.5,2.1512322573117516e-80,0.05,Different distribution (reject H0)
SpAbs_Dt,-,-,-,Same distribution (fail to reject H0)
SpMax_Dt,-,-,-,Same distribution (fail to reject H0)
SpDiam_Dt,-,-,-,Same distribution (fail to reject H0)
SpAD_Dt,-,-,-,Same distribution (fail to reject H0)
SpMAD_Dt,-,-,-,Same distribution (fail to reject H0)
LogEE_Dt,-,-,-,Same distribution (fail to reject H0)
SM1_Dt,-,-,-,Same distribution (fail to reject H0)
VE1_Dt,-,-,-,Same distribution (fail to reject H0)
VE2_Dt,-,-,-,Same distribution (fail to reject H0)
VE3_Dt,-,-,-,Same distribution (fail to reject H0)
VR1_Dt,-,-,-,Same distribution (fail to reject H0)
VR2_Dt,-,-,-,Same distribution (fail to reject H0)
VR3_Dt,-,-,-,Same distribution (fail to reject H0)
DetourIndex,-,-,-,Same distribution (fail to reject H0)
SpAbs_D,1139169887.0,0.002930033104565235,0.05,Different distribution (reject H0)
SpMax_D,1139111530.0,0.0028104659560833573,0.05,Different distribution (reject H0)
SpDiam_D,1135991825.5,0.00023592996430298892,0.05,Different distribution (reject H0)
SpAD_D,1139169936.0,0.0029301354025095603,0.05,Different distribution (reject H0)
SpMAD_D,1128931249.5,1.3598834259182098e-07,0.05,Different distribution (reject H0)
LogEE_D,1139111530.0,0.0028104659560827853,0.05,Different distribution (reject H0)
VE1_D,1137873132.5,0.0011150145254088055,0.05,Different distribution (reject H0)
VE2_D,1112300774.0,9.571224071647795e-20,0.05,Different distribution (reject H0)
VE3_D,1138790570.0,0.0022281100606738723,0.05,Different distribution (reject H0)
VR1_D,1139606684.0,0.003980692315226432,0.05,Different distribution (reject H0)
VR2_D,1138409602.5,0.0016800615443871784,0.05,Different distribution (reject H0)
VR3_D,1140789926.0,0.008705373110329857,0.05,Different distribution (reject H0)
NsLi,-,-,-,Same distribution (fail to reject H0)
NssBe,-,-,-,Same distribution (fail to reject H0)
NssssBe,-,-,-,Same distribution (fail to reject H0)
NssBH,-,-,-,Same distribution (fail to reject H0)
NsssB,-,-,-,Same distribution (fail to reject H0)
NssssB,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
NsCH3,1145493571.5,0.09596903439455662,0.05,Same distribution (fail to reject H0)
NdCH2,1149961925.0,0.003429088143482515,0.05,Different distribution (reject H0)
NssCH2,1027055039.0,5.005249408671298e-186,0.05,Different distribution (reject H0)
NtCH,1150608375.5,0.026127565519117976,0.05,Different distribution (reject H0)
NdsCH,1056633264.0,0.0,0.05,Different distribution (reject H0)
NaaCH,1057212783.5,1.862800515681036e-107,0.05,Different distribution (reject H0)
NsssCH,795315657.5,0.0,0.05,Different distribution (reject H0)
NddC,1150872273.0,0.01267243838300714,0.05,Different distribution (reject H0)
NtsC,1033327421.5,0.0,0.05,Different distribution (reject H0)
NdssC,1063401572.5,2.2755789852331486e-103,0.05,Different distribution (reject H0)
NaasC,1098631227.0,1.1700826229697829e-35,0.05,Different distribution (reject H0)
NaaaC,1117087180.0,2.2692243673277773e-45,0.05,Different distribution (reject H0)
NssssC,1136547966.0,3.6856891596037683e-10,0.05,Different distribution (reject H0)
NsNH3,1150872273.0,0.06582475335917783,0.05,Same distribution (fail to reject H0)
NsNH2,1147526506.5,0.00018466234697158963,0.05,Different distribution (reject H0)
NssNH2,-,-,-,Same distribution (fail to reject H0)
NdNH,1149240987.0,4.911262714277146e-15,0.05,Different distribution (reject H0)
NssNH,1073579698.0,2.3131815949648373e-83,0.05,Different distribution (reject H0)
NaaNH,1084248926.0,0.0,0.05,Different distribution (reject H0)
NtN,1108153896.5,8.577081476928945e-217,0.05,Different distribution (reject H0)
NsssNH,-,-,-,Same distribution (fail to reject H0)
NdsN,1094514890.0,0.0,0.05,Different distribution (reject H0)
NaaN,992520555.5,0.0,0.05,Different distribution (reject H0)
NsssN,1056414408.0,2.8707132261908683e-123,0.05,Different distribution (reject H0)
NddsN,1149575352.5,0.013204663308677424,0.05,Different distribution (reject H0)
NaasN,1053857442.0,0.0,0.05,Different distribution (reject H0)
NssssN,1150920252.0,0.08985322361886272,0.05,Same distribution (fail to reject H0)
NsOH,884015840.5,0.0,0.05,Different distribution (reject H0)
NdO,1072291708.0,1.54469251355513e-82,0.05,Different distribution (reject H0)
NssO,995122296.5,0.0,0.05,Different distribution (reject H0)
NaaO,1147467087.0,0.0017870612334364353,0.05,Different distribution (reject H0)
NsF,1069790390.5,1.0279705697244013e-155,0.05,Different distribution (reject H0)
NsSiH3,-,-,-,Same distribution (fail to reject H0)
NssSiH2,-,-,-,Same distribution (fail to reject H0)
NsssSiH,-,-,-,Same distribution (fail to reject H0)
NssssSi,1150728336.0,0.002252923186731908,0.05,Different distribution (reject H0)
NsPH2,-,-,-,Same distribution (fail to reject H0)
NssPH,-,-,-,Same distribution (fail to reject H0)
NsssP,-,-,-,Same distribution (fail to reject H0)
NdsssP,1150944241.5,0.29647945246891194,0.05,Same distribution (fail to reject H0)
NsssssP,-,-,-,Same distribution (fail to reject H0)
NsSH,1150992220.5,0.4999941204222331,0.05,Same distribution (fail to reject H0)
NdS,1148787099.5,5.6109409440753175e-06,0.05,Different distribution (reject H0)
NssS,1130258752.5,2.7999547241694757e-84,0.05,Different distribution (reject H0)
NaaS,1143385818.0,6.570856432906815e-10,0.05,Different distribution (reject H0)
NdssS,1147177890.0,1.3127296094808799e-31,0.05,Different distribution (reject H0)
NddssS,1103773220.5,1.85802168912875e-54,0.05,Different distribution (reject H0)
NsCl,1134358041.5,7.066603669328608e-24,0.05,Different distribution (reject H0)
NsGeH3,-,-,-,Same distribution (fail to reject H0)
NssGeH2,-,-,-,Same distribution (fail to reject H0)
NsssGeH,-,-,-,Same distribution (fail to reject H0)
NssssGe,-,-,-,Same distribution (fail to reject H0)
NsAsH2,-,-,-,Same distribution (fail to reject H0)
NssAsH,-,-,-,Same distribution (fail to reject H0)
NsssAs,-,-,-,Same distribution (fail to reject H0)
NsssdAs,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
NsssssAs,-,-,-,Same distribution (fail to reject H0)
NsSeH,-,-,-,Same distribution (fail to reject H0)
NdSe,-,-,-,Same distribution (fail to reject H0)
NssSe,-,-,-,Same distribution (fail to reject H0)
NaaSe,-,-,-,Same distribution (fail to reject H0)
NdssSe,-,-,-,Same distribution (fail to reject H0)
NddssSe,-,-,-,Same distribution (fail to reject H0)
NsBr,1142549754.0,5.947159133310704e-16,0.05,Different distribution (reject H0)
NsSnH3,-,-,-,Same distribution (fail to reject H0)
NssSnH2,-,-,-,Same distribution (fail to reject H0)
NsssSnH,-,-,-,Same distribution (fail to reject H0)
NssssSn,-,-,-,Same distribution (fail to reject H0)
NsI,1150848286.5,0.028886960299866756,0.05,Different distribution (reject H0)
NsPbH3,-,-,-,Same distribution (fail to reject H0)
NssPbH2,-,-,-,Same distribution (fail to reject H0)
NsssPbH,-,-,-,Same distribution (fail to reject H0)
NssssPb,-,-,-,Same distribution (fail to reject H0)
SsLi,-,-,-,Same distribution (fail to reject H0)
SssBe,-,-,-,Same distribution (fail to reject H0)
SssssBe,-,-,-,Same distribution (fail to reject H0)
SssBH,-,-,-,Same distribution (fail to reject H0)
SsssB,-,-,-,Same distribution (fail to reject H0)
SssssB,1150752325.5,0.0007823202859734645,0.05,Different distribution (reject H0)
SsCH3,1039265939.0,1.2925254202525715e-150,0.05,Different distribution (reject H0)
SdCH2,1137929994.5,1.550314276900046e-79,0.05,Different distribution (reject H0)
SssCH2,1126851427.0,9.183978938957402e-09,0.05,Different distribution (reject H0)
StCH,1147756850.0,3.627855856834218e-20,0.05,Different distribution (reject H0)
SdsCH,1132794393.0,3.3380207799709e-11,0.05,Different distribution (reject H0)
SaaCH,1000749642.5,5.994975127610633e-269,0.05,Different distribution (reject H0)
SsssCH,1060943886.0,3.0215728068541795e-98,0.05,Different distribution (reject H0)
SddC,1150872273.0,0.012672438414808758,0.05,Different distribution (reject H0)
StsC,1099401188.5,1.893979402748696e-78,0.05,Different distribution (reject H0)
SdssC,950113380.0,0.0,0.05,Different distribution (reject H0)
SaasC,1084618338.5,2.758842518712324e-54,0.05,Different distribution (reject H0)
SaaaC,1027681596.5,0.0,0.05,Different distribution (reject H0)
SssssC,996996945.0,0.0,0.05,Different distribution (reject H0)
SsNH3,1150080803.5,1.1609464352397372e-07,0.05,Different distribution (reject H0)
SsNH2,1081744588.5,0.0,0.05,Different distribution (reject H0)
SssNH2,-,-,-,Same distribution (fail to reject H0)
SdNH,1149677693.0,9.805294128479969e-05,0.05,Different distribution (reject H0)
SssNH,1074243489.0,8.014383195855665e-74,0.05,Different distribution (reject H0)
SaaNH,1141143713.0,9.369089747610388e-07,0.05,Different distribution (reject H0)
StN,1140693255.0,2.1772102025983143e-09,0.05,Different distribution (reject H0)
SsssNH,-,-,-,Same distribution (fail to reject H0)
SdsN,1145931523.5,0.0028850607240055006,0.05,Different distribution (reject H0)
SaaN,1097321666.5,2.401337077416043e-44,0.05,Different distribution (reject H0)
SsssN,1135409664.5,0.00013341552418162135,0.05,Different distribution (reject H0)
SddsN,1106758814.5,3.1356423943947073e-291,0.05,Different distribution (reject H0)
SaasN,1078091829.0,2.148399803133034e-132,0.05,Different distribution (reject H0)
SssssN,1150560453.5,0.00020763341984358506,0.05,Different distribution (reject H0)
SsOH,1017210993.0,8.442930932229413e-218,0.05,Different distribution (reject H0)
SdO,1083912562.0,2.1067682003088505e-55,0.05,Different distribution (reject H0)
SssO,1140184250.5,0.005639315250573902,0.05,Different distribution (reject H0)
SaaO,1034966758.5,0.0,0.05,Different distribution (reject H0)
SsF,1040145524.0,2.91111709386859e-215,0.05,Different distribution (reject H0)
SsSiH3,-,-,-,Same distribution (fail to reject H0)
SssSiH2,-,-,-,Same distribution (fail to reject H0)
SsssSiH,-,-,-,Same distribution (fail to reject H0)
SssssSi,1149720810.0,1.094470386045997e-12,0.05,Different distribution (reject H0)
SsPH2,-,-,-,Same distribution (fail to reject H0)
SssPH,-,-,-,Same distribution (fail to reject H0)
SsssP,-,-,-,Same distribution (fail to reject H0)
SdsssP,1149265217.5,8.102757504488568e-15,0.05,Different distribution (reject H0)
SsssssP,-,-,-,Same distribution (fail to reject H0)
SsSH,1150824298.0,0.0098144177556845,0.05,Different distribution (reject H0)
SdS,1124907860.0,2.988046685836379e-163,0.05,Different distribution (reject H0)
SssS,1112007852.5,2.479065838848914e-134,0.05,Different distribution (reject H0)
SaaS,1066791821.5,0.0,0.05,Different distribution (reject H0)
SdssS,1149808383.0,0.0020660882777105284,0.05,Different distribution (reject H0)
SddssS,1072965955.0,1.4812374906301852e-117,0.05,Different distribution (reject H0)
SsCl,1056757766.5,0.0,0.05,Different distribution (reject H0)
SsGeH3,-,-,-,Same distribution (fail to reject H0)
SssGeH2,-,-,-,Same distribution (fail to reject H0)
SsssGeH,-,-,-,Same distribution (fail to reject H0)
SssssGe,-,-,-,Same distribution (fail to reject H0)
SsAsH2,-,-,-,Same distribution (fail to reject H0)
SssAsH,-,-,-,Same distribution (fail to reject H0)
SsssAs,-,-,-,Same distribution (fail to reject H0)
SsssdAs,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
SsssssAs,-,-,-,Same distribution (fail to reject H0)
SsSeH,-,-,-,Same distribution (fail to reject H0)
SdSe,-,-,-,Same distribution (fail to reject H0)
SssSe,-,-,-,Same distribution (fail to reject H0)
SaaSe,-,-,-,Same distribution (fail to reject H0)
SdssSe,-,-,-,Same distribution (fail to reject H0)
SddssSe,-,-,-,Same distribution (fail to reject H0)
SsBr,1129614485.5,1.3890117454378477e-72,0.05,Different distribution (reject H0)
SsSnH3,-,-,-,Same distribution (fail to reject H0)
SssSnH2,-,-,-,Same distribution (fail to reject H0)
SsssSnH,-,-,-,Same distribution (fail to reject H0)
SssssSn,-,-,-,Same distribution (fail to reject H0)
SsI,1150464468.5,7.981084792565619e-06,0.05,Different distribution (reject H0)
SsPbH3,-,-,-,Same distribution (fail to reject H0)
SssPbH2,-,-,-,Same distribution (fail to reject H0)
SsssPbH,-,-,-,Same distribution (fail to reject H0)
SssssPb,-,-,-,Same distribution (fail to reject H0)
MAXsLi,-,-,-,Same distribution (fail to reject H0)
MAXssBe,-,-,-,Same distribution (fail to reject H0)
MAXssssBe,-,-,-,Same distribution (fail to reject H0)
MAXssBH,-,-,-,Same distribution (fail to reject H0)
MAXsssB,-,-,-,Same distribution (fail to reject H0)
MAXssssB,1150752325.5,0.0007823202859734645,0.05,Different distribution (reject H0)
MAXsCH3,1110274943.0,8.945288638115033e-22,0.05,Different distribution (reject H0)
MAXdCH2,1137937328.5,1.8934520416877014e-79,0.05,Different distribution (reject H0)
MAXssCH2,1083926572.5,2.2180536442433927e-55,0.05,Different distribution (reject H0)
MAXtCH,1147756846.0,3.6274781270816347e-20,0.05,Different distribution (reject H0)
MAXdsCH,1135713527.5,2.1190132846017053e-08,0.05,Different distribution (reject H0)
MAXaaCH,1138619508.0,0.0019646397490620817,0.05,Different distribution (reject H0)
MAXsssCH,1065717024.0,2.4567705138563845e-88,0.05,Different distribution (reject H0)
MAXddC,1150872273.0,0.012672438414808758,0.05,Different distribution (reject H0)
MAXtsC,1097401570.5,1.7842069236220542e-84,0.05,Different distribution (reject H0)
MAXdssC,1008698079.5,1.1604205227973867e-241,0.05,Different distribution (reject H0)
MAXaasC,1142714870.0,0.026849870580222406,0.05,Different distribution (reject H0)
MAXaaaC,1028467155.5,0.0,0.05,Different distribution (reject H0)
MAXssssC,998552694.5,0.0,0.05,Different distribution (reject H0)
MAXsNH3,1150080803.5,1.1609464352397372e-07,0.05,Different distribution (reject H0)
MAXsNH2,1081743802.5,0.0,0.05,Different distribution (reject H0)
MAXssNH2,-,-,-,Same distribution (fail to reject H0)
MAXdNH,1149677693.0,9.805294128479969e-05,0.05,Different distribution (reject H0)
MAXssNH,1135894946.0,0.0001799294478597449,0.05,Different distribution (reject H0)
MAXaaNH,1141411333.0,1.7670675695726728e-06,0.05,Different distribution (reject H0)
MAXtN,1140749223.0,2.637849437741172e-09,0.05,Different distribution (reject H0)
MAXsssNH,-,-,-,Same distribution (fail to reject H0)
MAXdsN,1146012303.5,0.0032987930598014103,0.05,Different distribution (reject H0)
MAXaaN,1126938946.5,2.210793164965061e-10,0.05,Different distribution (reject H0)
MAXsssN,1091128985.5,7.263212709441555e-45,0.05,Different distribution (reject H0)
MAXddsN,1106773440.5,4.8669232063882004e-291,0.05,Different distribution (reject H0)
MAXaasN,1079291254.0,3.7839011928401154e-128,0.05,Different distribution (reject H0)
MAXssssN,1150560453.5,0.00020763341984358506,0.05,Different distribution (reject H0)
MAXsOH,988223505.0,0.0,0.05,Different distribution (reject H0)
MAXdO,1138902110.0,0.002416551104350988,0.05,Different distribution (reject H0)
MAXssO,1146143232.5,0.1277999293408087,0.05,Same distribution (fail to reject H0)
MAXaaO,1035111734.5,0.0,0.05,Different distribution (reject H0)
MAXsF,1080110373.5,2.2294458828563527e-89,0.05,Different distribution (reject H0)
MAXsSiH3,-,-,-,Same distribution (fail to reject H0)
MAXssSiH2,-,-,-,Same distribution (fail to reject H0)
MAXsssSiH,-,-,-,Same distribution (fail to reject H0)
MAXssssSi,1149720810.0,1.094470386045997e-12,0.05,Different distribution (reject H0)
MAXsPH2,-,-,-,Same distribution (fail to reject H0)
MAXssPH,-,-,-,Same distribution (fail to reject H0)
MAXsssP,-,-,-,Same distribution (fail to reject H0)
MAXdsssP,1149265217.5,8.102757504488568e-15,0.05,Different distribution (reject H0)
MAXsssssP,-,-,-,Same distribution (fail to reject H0)
MAXsSH,1150824298.0,0.0098144177556845,0.05,Different distribution (reject H0)
MAXdS,1124918016.0,3.9871439355295485e-163,0.05,Different distribution (reject H0)
MAXssS,1112025649.5,3.271967736107998e-134,0.05,Different distribution (reject H0)
MAXaaS,1066870641.5,0.0,0.05,Different distribution (reject H0)
MAXdssS,1149808383.0,0.0020660882777105284,0.05,Different distribution (reject H0)
MAXddssS,1077273312.0,3.5388967851092796e-105,0.05,Different distribution (reject H0)
MAXsCl,1057912206.0,0.0,0.05,Different distribution (reject H0)
MAXsGeH3,-,-,-,Same distribution (fail to reject H0)
MAXssGeH2,-,-,-,Same distribution (fail to reject H0)
MAXsssGeH,-,-,-,Same distribution (fail to reject H0)
MAXssssGe,-,-,-,Same distribution (fail to reject H0)
MAXsAsH2,-,-,-,Same distribution (fail to reject H0)
MAXssAsH,-,-,-,Same distribution (fail to reject H0)
MAXsssAs,-,-,-,Same distribution (fail to reject H0)
MAXsssdAs,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
MAXsssssAs,-,-,-,Same distribution (fail to reject H0)
MAXsSeH,-,-,-,Same distribution (fail to reject H0)
MAXdSe,-,-,-,Same distribution (fail to reject H0)
MAXssSe,-,-,-,Same distribution (fail to reject H0)
MAXaaSe,-,-,-,Same distribution (fail to reject H0)
MAXdssSe,-,-,-,Same distribution (fail to reject H0)
MAXddssSe,-,-,-,Same distribution (fail to reject H0)
MAXsBr,1129596269.5,1.0535343649017846e-72,0.05,Different distribution (reject H0)
MAXsSnH3,-,-,-,Same distribution (fail to reject H0)
MAXssSnH2,-,-,-,Same distribution (fail to reject H0)
MAXsssSnH,-,-,-,Same distribution (fail to reject H0)
MAXssssSn,-,-,-,Same distribution (fail to reject H0)
MAXsI,1150464472.5,7.982266431551039e-06,0.05,Different distribution (reject H0)
MAXsPbH3,-,-,-,Same distribution (fail to reject H0)
MAXssPbH2,-,-,-,Same distribution (fail to reject H0)
MAXsssPbH,-,-,-,Same distribution (fail to reject H0)
MAXssssPb,-,-,-,Same distribution (fail to reject H0)
MINsLi,-,-,-,Same distribution (fail to reject H0)
MINssBe,-,-,-,Same distribution (fail to reject H0)
MINssssBe,-,-,-,Same distribution (fail to reject H0)
MINssBH,-,-,-,Same distribution (fail to reject H0)
MINsssB,-,-,-,Same distribution (fail to reject H0)
MINssssB,1150752325.5,0.0007823202859734645,0.05,Different distribution (reject H0)
MINsCH3,1108548477.0,1.701465919512081e-23,0.05,Different distribution (reject H0)
MINdCH2,1137937437.5,1.8990854388861185e-79,0.05,Different distribution (reject H0)
MINssCH2,1047519518.0,8.229451275926449e-129,0.05,Different distribution (reject H0)
MINtCH,1147756831.0,3.626061986686283e-20,0.05,Different distribution (reject H0)
MINdsCH,1136158754.0,5.161988758803995e-08,0.05,Different distribution (reject H0)
MINaaCH,1090059530.5,4.454454686471282e-46,0.05,Different distribution (reject H0)
MINsssCH,1033302602.5,3.3562118565104594e-166,0.05,Different distribution (reject H0)
MINddC,1150872273.0,0.012672438414808758,0.05,Different distribution (reject H0)
MINtsC,1097008872.5,1.0996699029534908e-85,0.05,Different distribution (reject H0)
MINdssC,944857921.0,0.0,0.05,Different distribution (reject H0)
MINaasC,1111493638.0,1.6898876985939484e-20,0.05,Different distribution (reject H0)
MINaaaC,1028255979.0,0.0,0.05,Different distribution (reject H0)
MINssssC,995804822.5,0.0,0.05,Different distribution (reject H0)
MINsNH3,1150080803.5,1.1609464352397372e-07,0.05,Different distribution (reject H0)
MINsNH2,1081749463.5,0.0,0.05,Different distribution (reject H0)
MINssNH2,-,-,-,Same distribution (fail to reject H0)
MINdNH,1149677693.0,9.805294128479969e-05,0.05,Different distribution (reject H0)
MINssNH,1128962024.0,9.630380411802221e-08,0.05,Different distribution (reject H0)
MINaaNH,1141435966.0,1.8718186733762498e-06,0.05,Different distribution (reject H0)
MINtN,1140749148.0,2.6371728677368658e-09,0.05,Different distribution (reject H0)
MINsssNH,-,-,-,Same distribution (fail to reject H0)
MINdsN,1146037927.5,0.0034407607710305833,0.05,Different distribution (reject H0)
MINaaN,1127356565.5,4.392402252590699e-10,0.05,Different distribution (reject H0)
MINsssN,1077870936.5,6.610960965684326e-66,0.05,Different distribution (reject H0)
MINddsN,1106772895.5,4.7878571959849156e-291,0.05,Different distribution (reject H0)
MINaasN,1079494421.0,1.9506303325250705e-127,0.05,Different distribution (reject H0)
MINssssN,1150560453.5,0.00020763341984358506,0.05,Different distribution (reject H0)
MINsOH,975642322.5,0.0,0.05,Different distribution (reject H0)
MINdO,1056132759.0,1.273082003634211e-108,0.05,Different distribution (reject H0)
MINssO,1104121365.5,2.159719207425865e-28,0.05,Different distribution (reject H0)
MINaaO,1035128779.5,0.0,0.05,Different distribution (reject H0)
MINsF,1079905768.5,6.98611818486746e-90,0.05,Different distribution (reject H0)
MINsSiH3,-,-,-,Same distribution (fail to reject H0)
MINssSiH2,-,-,-,Same distribution (fail to reject H0)
MINsssSiH,-,-,-,Same distribution (fail to reject H0)
MINssssSi,1149720810.0,1.094470386045997e-12,0.05,Different distribution (reject H0)
MINsPH2,-,-,-,Same distribution (fail to reject H0)
MINssPH,-,-,-,Same distribution (fail to reject H0)
MINsssP,-,-,-,Same distribution (fail to reject H0)
MINdsssP,1149265217.5,8.102757504488568e-15,0.05,Different distribution (reject H0)
MINsssssP,-,-,-,Same distribution (fail to reject H0)
MINsSH,1150824298.0,0.0098144177556845,0.05,Different distribution (reject H0)
MINdS,1124919089.0,4.110499088685573e-163,0.05,Different distribution (reject H0)
MINssS,1112019325.5,2.96475824342109e-134,0.05,Different distribution (reject H0)
MINaaS,1066877695.5,0.0,0.05,Different distribution (reject H0)
MINdssS,1149808383.0,0.0020660882777105284,0.05,Different distribution (reject H0)
MINddssS,1074748795.0,2.3930456053950184e-112,0.05,Different distribution (reject H0)
MINsCl,1058039578.5,0.0,0.05,Different distribution (reject H0)
MINsGeH3,-,-,-,Same distribution (fail to reject H0)
MINssGeH2,-,-,-,Same distribution (fail to reject H0)
MINsssGeH,-,-,-,Same distribution (fail to reject H0)
MINssssGe,-,-,-,Same distribution (fail to reject H0)
MINsAsH2,-,-,-,Same distribution (fail to reject H0)
MINssAsH,-,-,-,Same distribution (fail to reject H0)
MINsssAs,-,-,-,Same distribution (fail to reject H0)
MINsssdAs,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
MINsssssAs,-,-,-,Same distribution (fail to reject H0)
MINsSeH,-,-,-,Same distribution (fail to reject H0)
MINdSe,-,-,-,Same distribution (fail to reject H0)
MINssSe,-,-,-,Same distribution (fail to reject H0)
MINaaSe,-,-,-,Same distribution (fail to reject H0)
MINdssSe,-,-,-,Same distribution (fail to reject H0)
MINddssSe,-,-,-,Same distribution (fail to reject H0)
MINsBr,1129589694.5,9.534315572471697e-73,0.05,Different distribution (reject H0)
MINsSnH3,-,-,-,Same distribution (fail to reject H0)
MINssSnH2,-,-,-,Same distribution (fail to reject H0)
MINsssSnH,-,-,-,Same distribution (fail to reject H0)
MINssssSn,-,-,-,Same distribution (fail to reject H0)
MINsI,1150464473.5,7.982561867353175e-06,0.05,Different distribution (reject H0)
MINsPbH3,-,-,-,Same distribution (fail to reject H0)
MINssPbH2,-,-,-,Same distribution (fail to reject H0)
MINsssPbH,-,-,-,Same distribution (fail to reject H0)
MINssssPb,-,-,-,Same distribution (fail to reject H0)
ECIndex,1124725876.5,4.619106687903537e-10,0.05,Different distribution (reject H0)
ETA_alpha,1127373832.5,1.8468111567315784e-08,0.05,Different distribution (reject H0)
AETA_alpha,1049171192.5,8.394879592079682e-125,0.05,Different distribution (reject H0)
ETA_shape_p,1080277113.5,2.4690405409966666e-61,0.05,Different distribution (reject H0)
ETA_shape_y,969478178.5,0.0,0.05,Different distribution (reject H0)
ETA_shape_x,1024041067.5,1.0205313854097017e-240,0.05,Different distribution (reject H0)
ETA_beta,1049965272.0,6.685521386082095e-123,0.05,Different distribution (reject H0)
AETA_beta,1008859611.5,5.900178560674109e-241,0.05,Different distribution (reject H0)
ETA_beta_s,1148954050.5,0.3173664856847645,0.05,Same distribution (fail to reject H0)
AETA_beta_s,978480622.0,0.0,0.05,Different distribution (reject H0)
ETA_beta_ns,990107693.0,3.7081098929002626e-308,0.05,Different distribution (reject H0)
AETA_beta_ns,990649317.5,5.35299496640202e-306,0.05,Different distribution (reject H0)
ETA_beta_ns_d,955682951.5,0.0,0.05,Different distribution (reject H0)
AETA_beta_ns_d,966962366.5,0.0,0.05,Different distribution (reject H0)
