Descriptor,Statistics,p,alpha,Interpretation
ATSC2se,886576300.5,0.0,0.05,Different distribution (reject H0)
ATSC3se,1094075470.0,1.8250979604638029e-40,0.05,Different distribution (reject H0)
ATSC4se,929638617.5,0.0,0.05,Different distribution (reject H0)
ATSC5se,1101655977.5,6.667368394313002e-31,0.05,Different distribution (reject H0)
ATSC6se,884956088.0,0.0,0.05,Different distribution (reject H0)
ATSC7se,1132366168.5,7.082889601805884e-06,0.05,Different distribution (reject H0)
ATSC8se,1126805666.5,8.637231023793877e-09,0.05,Different distribution (reject H0)
ATSC0pe,1148813765.0,0.30581628687917445,0.05,Same distribution (fail to reject H0)
ATSC1pe,1072303747.0,1.9711386306185373e-75,0.05,Different distribution (reject H0)
ATSC2pe,879796164.5,0.0,0.05,Different distribution (reject H0)
ATSC3pe,1119711953.0,1.542166437004132e-13,0.05,Different distribution (reject H0)
ATSC4pe,968425509.0,0.0,0.05,Different distribution (reject H0)
ATSC5pe,1134269882.5,4.858202661055923e-05,0.05,Different distribution (reject H0)
ATSC6pe,899282912.0,0.0,0.05,Different distribution (reject H0)
ATSC7pe,1117043225.0,1.2595506581163445e-15,0.05,Different distribution (reject H0)
ATSC8pe,1147949913.0,0.2391351988608021,0.05,Same distribution (fail to reject H0)
ATSC0are,1149021788.0,0.3230239547238076,0.05,Same distribution (fail to reject H0)
ATSC1are,1075342682.0,6.989999373758645e-70,0.05,Different distribution (reject H0)
ATSC2are,885729390.5,0.0,0.05,Different distribution (reject H0)
ATSC3are,1112942826.5,3.710870640509916e-19,0.05,Different distribution (reject H0)
ATSC4are,955809573.0,0.0,0.05,Different distribution (reject H0)
ATSC5are,1121525363.0,3.255373469881292e-12,0.05,Different distribution (reject H0)
ATSC6are,896574365.5,0.0,0.05,Different distribution (reject H0)
ATSC7are,1116475656.0,4.3135212810479097e-16,0.05,Different distribution (reject H0)
ATSC8are,1137640178.5,0.0009290173461926692,0.05,Different distribution (reject H0)
ATSC0p,1102816755.0,1.4769293824468472e-29,0.05,Different distribution (reject H0)
ATSC1p,1116530642.0,4.789011323817925e-16,0.05,Different distribution (reject H0)
ATSC2p,1082393194.5,7.653536759124444e-58,0.05,Different distribution (reject H0)
ATSC3p,985132904.0,0.0,0.05,Different distribution (reject H0)
ATSC4p,1054089746.5,3.002600046486148e-113,0.05,Different distribution (reject H0)
ATSC5p,962535646.5,0.0,0.05,Different distribution (reject H0)
ATSC6p,992931315.5,2.1049347931867387e-297,0.05,Different distribution (reject H0)
ATSC7p,1050073995.0,1.2272313773261243e-122,0.05,Different distribution (reject H0)
ATSC8p,1113396049.0,9.527584831765978e-19,0.05,Different distribution (reject H0)
ATSC0i,1110944216.0,5.087464726090608e-21,0.05,Different distribution (reject H0)
ATSC1i,1130549413.0,9.455947243092721e-07,0.05,Different distribution (reject H0)
ATSC2i,1075615762.5,2.1505315690258868e-69,0.05,Different distribution (reject H0)
ATSC3i,1020495549.5,1.709589741674528e-203,0.05,Different distribution (reject H0)
ATSC4i,1149112206.0,0.3306260350835174,0.05,Same distribution (fail to reject H0)
ATSC5i,991205973.0,7.070849425834981e-304,0.05,Different distribution (reject H0)
ATSC6i,1018961118.5,2.9915452284141467e-208,0.05,Different distribution (reject H0)
ATSC7i,1129641051.5,3.23832209950666e-07,0.05,Different distribution (reject H0)
ATSC8i,1097146359.0,1.9837983304160367e-36,0.05,Different distribution (reject H0)
AATSC0c,1137374064.5,0.0007516181375506789,0.05,Different distribution (reject H0)
AATSC1c,1084475045.5,1.641934189663413e-54,0.05,Different distribution (reject H0)
AATSC2c,1016902973.0,1.0189755834981542e-214,0.05,Different distribution (reject H0)
AATSC3c,1109104122.5,8.107060404262382e-23,0.05,Different distribution (reject H0)
AATSC4c,928046595.5,0.0,0.05,Different distribution (reject H0)
AATSC5c,1066441869.0,9.460751805450851e-87,0.05,Different distribution (reject H0)
AATSC6c,1047319430.0,2.6874036024214472e-129,0.05,Different distribution (reject H0)
AATSC7c,964305324.5,0.0,0.05,Different distribution (reject H0)
AATSC8c,1006593744.5,1.2847623834824821e-248,0.05,Different distribution (reject H0)
AATSC0dv,1096369497.0,1.98304013566107e-37,0.05,Different distribution (reject H0)
AATSC1dv,1050410072.0,7.748436513216934e-122,0.05,Different distribution (reject H0)
AATSC2dv,948558055.0,0.0,0.05,Different distribution (reject H0)
AATSC3dv,1142556198.0,0.02463603454487295,0.05,Different distribution (reject H0)
AATSC4dv,1036317819.5,1.1190027596265148e-157,0.05,Different distribution (reject H0)
AATSC5dv,1137562519.5,0.0008736334862218023,0.05,Different distribution (reject H0)
AATSC6dv,1052044575.0,5.539490679611645e-118,0.05,Different distribution (reject H0)
AATSC7dv,1069948895.5,6.996036306907177e-80,0.05,Different distribution (reject H0)
AATSC8dv,1136366005.5,0.0003259931913556953,0.05,Different distribution (reject H0)
AATSC0d,1137497775.5,0.0008297980219172825,0.05,Different distribution (reject H0)
AATSC1d,1100547473.5,3.2335265659944737e-32,0.05,Different distribution (reject H0)
AATSC2d,1112570002.5,1.6944254933302774e-19,0.05,Different distribution (reject H0)
AATSC3d,1093943980.5,1.2120611111153712e-40,0.05,Different distribution (reject H0)
AATSC4d,1043855443.5,6.323032355760126e-138,0.05,Different distribution (reject H0)
AATSC5d,1110468432.0,1.7753073072961307e-21,0.05,Different distribution (reject H0)
AATSC6d,1074899269.0,1.1174887453624555e-70,0.05,Different distribution (reject H0)
AATSC7d,1135014845.0,9.807101537178683e-05,0.05,Different distribution (reject H0)
AATSC8d,1109689753.0,3.087162121737258e-22,0.05,Different distribution (reject H0)
AATSC0s,1129534281.0,2.84694990266578e-07,0.05,Different distribution (reject H0)
AATSC1s,1099656333.5,2.705356847371782e-33,0.05,Different distribution (reject H0)
AATSC2s,909156654.5,0.0,0.05,Different distribution (reject H0)
AATSC3s,1065401515.0,7.630780890816857e-89,0.05,Different distribution (reject H0)
AATSC4s,1084319623.0,9.335449924359297e-55,0.05,Different distribution (reject H0)
AATSC5s,1110933258.5,4.966189841545199e-21,0.05,Different distribution (reject H0)
AATSC6s,1021470965.0,1.6900834641584736e-200,0.05,Different distribution (reject H0)
AATSC7s,1114404363.0,7.462055575046021e-18,0.05,Different distribution (reject H0)
AATSC8s,1100107785.0,9.557969698256015e-33,0.05,Different distribution (reject H0)
AATSC0Z,1033975393.5,4.344653314597195e-164,0.05,Different distribution (reject H0)
AATSC1Z,1125252291.5,9.905687710132802e-10,0.05,Different distribution (reject H0)
AATSC2Z,938647160.5,0.0,0.05,Different distribution (reject H0)
AATSC3Z,1098447053.0,8.717407243636326e-35,0.05,Different distribution (reject H0)
AATSC4Z,1076194775.5,2.299306324955197e-68,0.05,Different distribution (reject H0)
AATSC5Z,1114526097.5,9.532042255947502e-18,0.05,Different distribution (reject H0)
AATSC6Z,1111944908.0,4.476400361100046e-20,0.05,Different distribution (reject H0)
AATSC7Z,1137243931.0,0.0006767474134102693,0.05,Different distribution (reject H0)
AATSC8Z,1090001657.5,3.676277373456872e-46,0.05,Different distribution (reject H0)
AATSC0m,1031768687.5,3.0218622240236245e-170,0.05,Different distribution (reject H0)
AATSC1m,1131543145.5,2.9061828172435305e-06,0.05,Different distribution (reject H0)
AATSC2m,940526517.0,0.0,0.05,Different distribution (reject H0)
AATSC3m,1099149912.0,6.481168321346601e-34,0.05,Different distribution (reject H0)
AATSC4m,1080718327.5,1.3480615173867978e-60,0.05,Different distribution (reject H0)
AATSC5m,1114551225.0,1.002508677227588e-17,0.05,Different distribution (reject H0)
AATSC6m,1119394690.5,8.883331754373199e-14,0.05,Different distribution (reject H0)
AATSC7m,1134193082.5,4.5114706203121726e-05,0.05,Different distribution (reject H0)
AATSC8m,1089309322.5,3.61973000749681e-47,0.05,Different distribution (reject H0)
AATSC0v,1086007697.5,4.0077635563310675e-52,0.05,Different distribution (reject H0)
AATSC1v,1068292315.5,4.328214247535925e-83,0.05,Different distribution (reject H0)
AATSC2v,1087984168.0,3.9844119438355316e-49,0.05,Different distribution (reject H0)
AATSC3v,1033903915.5,2.756188549532693e-164,0.05,Different distribution (reject H0)
AATSC4v,1122277779.0,1.0959598679754025e-11,0.05,Different distribution (reject H0)
AATSC5v,1070597107.0,1.2099396384878018e-78,0.05,Different distribution (reject H0)
AATSC6v,1042671978.5,6.141415462093985e-141,0.05,Different distribution (reject H0)
AATSC7v,1082209563.5,3.8469585307947685e-58,0.05,Different distribution (reject H0)
AATSC8v,1074185945.5,5.723055348055024e-72,0.05,Different distribution (reject H0)
AATSC0se,1132193482.0,5.892578601082633e-06,0.05,Different distribution (reject H0)
AATSC1se,1016710455.5,2.5007402298502875e-215,0.05,Different distribution (reject H0)
AATSC2se,895883605.0,0.0,0.05,Different distribution (reject H0)
AATSC3se,1101101396.0,1.479186513620741e-31,0.05,Different distribution (reject H0)
AATSC4se,917924892.5,0.0,0.05,Different distribution (reject H0)
AATSC5se,1123168456.0,4.4355015326983734e-11,0.05,Different distribution (reject H0)
AATSC6se,913006155.0,0.0,0.05,Different distribution (reject H0)
AATSC7se,1084406280.0,1.2792039604283932e-54,0.05,Different distribution (reject H0)
AATSC8se,1114272584.0,5.7199226718954795e-18,0.05,Different distribution (reject H0)
AATSC0pe,1139620214.5,0.004018212254670414,0.05,Different distribution (reject H0)
AATSC1pe,1059303485.5,1.2599526245189405e-101,0.05,Different distribution (reject H0)
AATSC2pe,887028292.5,0.0,0.05,Different distribution (reject H0)
AATSC3pe,1127506407.5,2.20035683576578e-08,0.05,Different distribution (reject H0)
AATSC4pe,955181768.0,0.0,0.05,Different distribution (reject H0)
AATSC5pe,1148899487.5,0.3128582877478608,0.05,Same distribution (fail to reject H0)
AATSC6pe,927995869.0,0.0,0.05,Different distribution (reject H0)
AATSC7pe,1076846317.5,3.2368490967400815e-67,0.05,Different distribution (reject H0)
AATSC8pe,1136338277.0,0.0003183546949759871,0.05,Different distribution (reject H0)
AATSC0are,1145191318.5,0.08817999513621844,0.05,Same distribution (fail to reject H0)
AATSC1are,1057308795.5,5.360812412458293e-106,0.05,Different distribution (reject H0)
AATSC2are,893039576.0,0.0,0.05,Different distribution (reject H0)
AATSC3are,1122497772.0,1.554041422477065e-11,0.05,Different distribution (reject H0)
AATSC4are,943976847.5,0.0,0.05,Different distribution (reject H0)
